agent_id,agency_id,first_name,last_name,email,phone,license_number,hire_date,is_active,commission_rate
AGT-0016,AGY-0019,Amanda,Gibson,brenda51@example.net,970.698.5931,AG-734210,2013-06-27,True,0.0284
AGT-0017,AGY-0044,Debra,Wilson,shahkevin@example.com,813-482-6758,AG-765046,2017-09-09,0,0.0541
AGT-0018,AGY-0017,Nicole,Pena,rgilbert@example.org,001-853-677-3515x850,AG-987204,2021-05-03,no,0.022
AGT-0019,AGY-0003,James,Martinez,ndavis@example.net,+1-590-505-3293x1839,AG-103717,2019-07-02,True,0.0333
AGT-0020,AGY-0011,Mark,Hernandez,ramireztracey@example.org,+1-742-210-2053,AG-877236,2012-12-07,True,0.0377
AGT-0021,AGY-0008,Grant,Williams,vfox@example.org,975.289.1783x9084,AG-178898,2019-08-05,True,0.0578
AGT-0022,AGY-0024,Bruce,Mendoza,gsimmons@example.com,001-771-815-9212x499,AG-710805,2013-05-06,True,0.0421
AGT-0023,AGY-0003,Virginia,Schmidt,bwagner@example.org,001-318-736-7365x766,AG-423232,2019-08-22,1,0.0346
AGT-0024,AGY-0014,Ronald,Ortega,stephanie71@example.org,716-315-2809,AG-815198,2010-11-23,False,0.03
AGT-0025,AGY-0050,Robert,Russo,uparrish@example.org,794-351-9832x7315,AG-687080,2012-04-22,False,0.0554
AGT-0026,AGY-0016,Kathryn,Andrews,xbruce@example.net,+1-480-494-0244x550,AG-270395,2019-02-12,1,0.059
AGT-0027,AGY-0002,Ashley,Morales,joycebonilla@example.org,001-383-266-7525x4599,AG-288073,2013-12-21,yes,0.0495
AGT-0028,AGY-0043,Eric,Webster,craigjoseph@example.net,(979)676-4381x56149,AG-870763,2017-06-14,yes,0.0524
AGT-0029,AGY-0045,Brandon,Foster,smithkevin@example.org,001-724-345-1076x22683,AG-213346,2015-12-26,1,0.0353
AGT-0030,AGY-0015,Randy,Harmon,esmith@example.com,001-769-466-4160,AG-309267,2010-11-14,no,0.0527
AGT-0031,AGY-0020,Laurie,Montgomery,christopher13@example.com,001-468-316-4535,AG-960394,2020-04-28,False,0.0518
AGT-0032,AGY-0002,William,Wilson,rebeccabailey@example.net,+1-923-912-4329x2127,AG-792094,2015-02-08,0,0.0277
AGT-0033,AGY-0005,Erin,Macias,michelle52@example.com,377-644-9058,AG-910891,2017-05-13,True,0.0312
AGT-0034,AGY-0044,Steven,Johnson,marie11@example.net,+1-986-479-8079x359,AG-984642,2021-06-05,yes,0.0414
AGT-0035,AGY-0017,Susan,Hayes,toni18@example.net,(703)777-8892,AG-287241,2010-08-15,False,0.0432
AGT-0036,AGY-0007,Samantha,Hughes,erika05@example.org,818-464-4925x19254,AG-725550,2015-12-15,True,0.0374
AGT-0037,AGY-0039,Brooke,Hurley,angelica52@example.net,001-981-568-5054x235,AG-636265,2017-01-13,yes,0.0246
AGT-0038,AGY-0017,Jeremy,Taylor,phillipskristin@example.net,001-988-205-9296x22292,AG-146542,2022-12-07,0,0.0484
AGT-0039,AGY-0024,Robert,Rhodes,tarabishop@example.net,838.834.7359x774,AG-552248,2010-01-14,0,0.0228
AGT-0040,AGY-0043,Tammy,Montoya,moniquewilliams@example.com,(881)381-4124x782,AG-989208,2017-05-28,False,0.025
AGT-0041,AGY-0043,Stacey,Walker,bwilkerson@example.com,2687536153,AG-528231,2016-09-26,True,0.033
AGT-0042,AGY-0013,Sarah,Combs,lacey20@example.com,827.379.0104x3289,AG-540869,2016-08-19,1,0.0466
AGT-0043,AGY-0040,Kimberly,Young,williamsrobert@example.net,811.279.8089x324,AG-696750,2018-07-03,1,0.032
AGT-0044,AGY-0020,Christina,Allen,qlopez@example.org,651.288.8880x67065,AG-400850,2022-04-16,True,0.0284
AGT-0045,AGY-0030,Michael,Jones,jessicafuller@example.net,001-952-205-8527x7221,AG-563246,2023-01-04,False,0.0377
AGT-0046,AGY-0048,Kelly,Williams,ninastewart@example.com,868.874.0345x05415,AG-277934,2014-10-17,no,0.0464
AGT-0047,AGY-0006,Julia,Kline,lmorgan@example.com,001-675-784-1616x928,AG-958179,2016-05-13,False,0.0581
AGT-0048,AGY-0015,Curtis,Murphy,kirk96@example.org,001-775-470-5964x016,AG-945742,2015-04-09,True,0.028
AGT-0049,AGY-0016,Stephanie,Thomas,ejohnson@example.org,001-455-769-0927x55719,AG-598216,2010-07-20,True,0.0445
AGT-0050,AGY-0027,Raymond,Banks,susanjohnson@example.org,386.481.4473x9473,AG-760356,2011-08-20,no,0.043
AGT-0051,AGY-0026,Melissa,Hayes,zosborn@example.net,451-588-4422x58313,AG-355836,2018-08-12,no,0.0259
AGT-0052,AGY-0050,Kristy,Johnson,tanner82@example.net,314-467-8669,AG-545798,2010-02-15,False,0.0288
AGT-0053,AGY-0004,Teresa,Day,howens@example.com,(489)622-6801,AG-684482,2021-08-14,no,0.03
AGT-0054,AGY-0009,Fred,Morris,michaeleverett@example.com,343-484-2498,AG-940346,2012-09-21,no,0.0386
AGT-0055,AGY-0049,Brittany,Carpenter,donnale@example.net,690-601-0943x96907,AG-564071,2021-11-30,False,0.0445
AGT-0056,AGY-0036,Timothy,Ballard,eevans@example.net,4277677359,AG-567574,2021-04-28,yes,0.0559
AGT-0057,AGY-0017,Michelle,Flores,theresa25@example.net,+1-415-337-1473,AG-888295,2020-08-24,no,0.0299
AGT-0058,AGY-0041,Brent,Dougherty,kwright@example.com,001-953-227-8774,AG-350867,2016-03-21,no,0.031
AGT-0059,AGY-0016,Christopher,Long,nlevy@example.net,(400)647-9748x016,AG-384913,2011-09-27,True,0.0334
AGT-0060,AGY-0009,Jessica,Gallagher,brandon09@example.net,658.341.6878,AG-258157,2022-02-11,False,0.0293
AGT-0061,AGY-0005,David,Davis,laura58@example.com,001-923-498-6800x02578,AG-535020,2013-06-05,0,0.0363
AGT-0062,AGY-0027,Catherine,Robertson,sarah52@example.com,+1-749-758-8879x470,AG-165290,2022-03-04,no,0.0283
AGT-0063,AGY-0050,Emily,Whitney,laura09@example.com,599-230-9728x962,AG-712451,2019-06-04,yes,0.0578
AGT-0064,AGY-0031,Ashley,Graves,andrewedwards@example.org,(836)789-7028x38578,AG-106182,2010-06-10,yes,0.0577
AGT-0065,AGY-0027,Sue,Stevens,amy49@example.com,934.784.3443,AG-664365,2016-09-12,yes,0.0499
AGT-0066,AGY-0032,Timothy,Castro,keith98@example.com,(652)640-4157x4733,AG-330080,2022-04-01,0,0.0309
AGT-0067,AGY-0025,Derrick,Gilbert,johnsantiago@example.net,230.416.5712,AG-452457,2020-11-22,True,0.0468
AGT-0068,AGY-0030,Richard,Donovan,mwoods@example.com,440-619-3802x62067,AG-233827,2019-01-26,1,0.0592
AGT-0069,AGY-0026,Nancy,Smith,hebertmatthew@example.com,+1-688-472-8743x1527,AG-720644,2021-12-24,True,0.0426
AGT-0070,AGY-0042,Alexis,Rogers,ashley32@example.net,+1-266-685-1612x2753,AG-549433,2010-08-11,False,0.0254
AGT-0071,AGY-0004,Patrick,Griffin,stephanie49@example.net,001-404-853-0174,AG-372793,2020-05-10,1,0.0352
AGT-0072,AGY-0021,Gina,Leblanc,hannah45@example.net,932.572.7956,AG-453894,2014-09-30,no,0.0504
AGT-0073,AGY-0049,Kathleen,Becker,foxallison@example.com,491-408-8398,AG-972335,2018-07-03,True,0.0369
AGT-0074,AGY-0002,Mark,Meyer,frazierjennifer@example.com,287-907-2867,AG-885408,2011-11-02,no,0.0416
AGT-0075,AGY-0042,Emily,Parker,fosterlisa@example.net,391.906.5180,AG-171951,2017-11-06,0,0.0512
AGT-0076,AGY-0016,Anthony,Ortiz,katiegood@example.net,(456)576-6182x51286,AG-309044,2010-11-26,True,0.0536
AGT-0077,AGY-0016,Mary,Avila,steven86@example.net,(533)575-2431x0690,AG-232352,2023-12-08,1,0.0389
AGT-0078,AGY-0030,Carlos,Wheeler,tharper@example.org,606.573.8302,AG-833442,2012-07-26,0,0.0302
AGT-0079,AGY-0039,Lisa,Dennis,barbara53@example.com,(483)864-4089,AG-736745,2018-04-10,1,0.0585
AGT-0080,AGY-0020,Angela,Williams,shelly68@example.com,001-466-924-6287x334,AG-213349,2012-07-27,1,0.0431
AGT-0081,AGY-0026,Robin,Hart,igrant@example.com,543.251.7518,AG-849747,2016-12-30,yes,0.0279
AGT-0082,AGY-0007,Joseph,Nunez,russojacob@example.net,001-583-873-5403x3173,AG-831059,2023-04-13,0,0.0509
AGT-0083,AGY-0037,Rose,Arnold,oscar85@example.com,258-577-1753x556,AG-920652,2023-06-20,False,0.0216
AGT-0084,AGY-0043,Joyce,Smith,mphillips@example.com,969.937.8547,AG-488571,2021-12-13,yes,0.0228
AGT-0085,AGY-0027,Gary,Norton,donaldpayne@example.org,+1-508-301-0062,AG-962276,2017-08-27,True,0.0396
AGT-0086,AGY-0041,Jasmine,Smith,nbrooks@example.net,+1-697-270-0886x00848,AG-968962,2019-09-22,False,0.0384
AGT-0087,AGY-0012,Wayne,Wolfe,ldrake@example.org,682-833-9845,AG-869440,2013-06-07,yes,0.0409
AGT-0088,AGY-0030,Christian,Chung,scunningham@example.org,910-816-6687x0021,AG-556732,2016-01-22,no,0.053
AGT-0089,AGY-0021,Deanna,Rivera,jacobsonsamantha@example.org,297.440.1489,AG-993085,2023-04-16,True,0.0298
AGT-0090,AGY-0029,Sarah,Edwards,brendagoodwin@example.net,(714)229-3968x5621,AG-355709,2011-12-11,True,0.05
AGT-0091,AGY-0022,Connor,Hall,petersonkayla@example.net,(850)347-7358x6629,AG-130094,2022-10-13,yes,0.0398
AGT-0092,AGY-0032,Kelsey,Phillips,jennifermiller@example.org,(426)355-1104x7541,AG-322423,2017-04-16,1,0.0342
AGT-0093,AGY-0018,Jacob,Cole,fgarcia@example.com,+1-819-395-6046,AG-725113,2015-10-18,False,0.048
AGT-0094,AGY-0034,Jenny,Hansen,ashleyjackson@example.com,(824)644-7212,AG-300337,2016-03-13,True,0.0234
AGT-0095,AGY-0036,Robert,Washington,wardsheryl@example.net,+1-879-793-7124x0659,AG-894993,2019-02-12,no,0.0296
AGT-0096,AGY-0029,Scott,Jordan,kevinmorrison@example.net,575.726.5479,AG-931450,2020-09-05,no,0.0207
AGT-0097,AGY-0026,Nicholas,Velasquez,kdiaz@example.org,001-382-880-7374,AG-825391,2016-08-07,0,0.0297
AGT-0098,AGY-0031,Emily,Taylor,john26@example.com,279-779-6886,AG-680358,2023-01-17,False,0.0412
AGT-0099,AGY-0023,Jacqueline,Burnett,rodriguezjohn@example.net,(529)509-6561x014,AG-836996,2019-07-18,False,0.0381
AGT-0100,AGY-0015,Sean,Myers,michaeljohnson@example.org,961-312-5457x3875,AG-226516,2016-11-16,True,0.0489
AGT-0101,AGY-0048,Samuel,Horton,carlos01@example.org,412-438-2825x86736,AG-661894,2017-01-28,False,0.058
AGT-0102,AGY-0014,Danielle,Reynolds,mclaughlinnicole@example.com,001-366-403-3419,AG-874483,2014-02-25,0,0.0394
AGT-0103,AGY-0007,Michael,Gonzalez,bakermichelle@example.net,+1-659-369-6915x5792,AG-973074,2023-03-23,True,0.0278
AGT-0104,AGY-0012,Emily,Edwards,kevinwhite@example.net,(486)969-2966,AG-416950,2015-02-07,False,0.0206
AGT-0105,AGY-0018,Cynthia,Steele,angelaburns@example.org,(557)890-5072,AG-147726,2021-12-24,1,0.059
AGT-0106,AGY-0045,Tamara,Wagner,fortiz@example.com,001-677-421-9034x043,AG-232413,2022-05-31,True,0.0455
AGT-0107,AGY-0001,Kimberly,Cunningham,hdunn@example.net,848-358-0783,AG-701949,2021-01-04,False,0.0314
AGT-0108,AGY-0022,Jill,Valdez,kennethkidd@example.com,451-571-3395x962,AG-293319,2020-09-26,no,0.0586
AGT-0109,AGY-0008,Lisa,Trujillo,amanda98example.org,444-794-8126x04223,AG-962050,2015-08-31,no,0.0226
AGT-0110,AGY-0037,Maria,Juarez,kburns@example.net,766-271-1684x577,AG-760021,2021-01-11,False,0.0475
AGT-0111,AGY-0037,Misty,Boone,simonstephen@example.net,001-751-486-3637x454,AG-418594,2013-05-27,1,0.0234
AGT-0112,AGY-0036,Ashlee,Washington,patricia00@example.org,+1-670-312-7706x3242,AG-901577,2015-07-27,False,0.0366
AGT-0113,AGY-0050,Diamond,Wright,elizabeth20@example.com,+1-943-261-1037x1293,AG-647957,2023-05-16,0,0.0352
AGT-0114,AGY-0038,Alan,Cooper,mcneilrobert@example.org,413.361.1155x4262,AG-549660,2019-12-06,True,0.0322
AGT-0115,AGY-0040,Alyssa,Smith,scottbowen@example.net,001-826-797-3112x1965,AG-876039,2023-12-06,True,0.024
AGT-0116,AGY-0017,Kylie,Wright,wrightcarolyn@example.net,+1-540-943-8983x640,AG-792509,2014-08-30,0,0.0232
AGT-0117,AGY-0036,Paul,Allen,ricetiffany@example.com,626-596-5827x10910,AG-178711,2015-05-19,1,0.0263
AGT-0118,AGY-0045,Bill,Brown,ohunter@example.net,566.461.8892x41418,AG-722656,2019-03-01,no,0.0388
AGT-0119,AGY-0019,Amanda,Myers,collinssamuel@example.org,6314617990,AG-841296,2010-09-25,0,0.0313
AGT-0120,AGY-0044,David,Zimmerman,martinstephanie@example.net,342.952.4105x64814,AG-344762,2020-03-08,False,0.057
AGT-0121,AGY-0028,Spencer,Ward,kvillarreal@example.com,(241)591-3800,AG-220351,2023-03-25,0,0.0418
AGT-0122,AGY-0010,Brandon,Cox,haroldhorne@example.org,+1-763-353-6541,AG-174878,2013-05-05,True,0.0224
AGT-0123,AGY-0029,Wayne,Winters,jeffreyblack@example.org,(617)544-5187x0534,AG-230394,2016-11-24,True,0.0387
AGT-0124,AGY-0018,Steven,Vargas,xcuevas@example.org,001-883-620-6038x5050,AG-624783,2016-10-27,yes,0.0416
AGT-0125,AGY-0039,Dalton,Moreno,robertwoodward@example.org,001-441-803-8657x191,AG-141797,2019-10-27,False,0.0556
AGT-0126,AGY-0002,Charles,Bradley,ibates@example.org,345-465-5743x1329,AG-195763,2017-03-25,True,0.0292
AGT-0127,AGY-0049,Daniel,Cole,richard85example.org,447.341.1249x035,AG-804938,2022-11-26,True,0.0529
AGT-0128,AGY-0049,Jennifer,Schmitt,rpalmer@example.com,320-267-8831x712,AG-893005,2022-12-04,True,0.027
AGT-0129,AGY-0018,Bryan,Norman,davidcolon@example.com,+1-219-994-1013x72151,AG-290305,2021-08-22,no,0.0599
AGT-0130,AGY-0006,Brent,Glass,zunderwood@example.com,9664253244,AG-592841,2019-10-11,no,0.0339
AGT-0131,AGY-0043,Austin,Harvey,deborahporter@example.net,701.946.2638x3806,AG-209680,2017-06-23,False,0.0543
AGT-0132,AGY-0045,Amy,Washington,paul20@example.com,+1-530-540-7859x321,AG-619536,2017-05-25,yes,0.0315
AGT-0133,AGY-0030,Joseph,Velasquez,gallagherstacieexample.net,(452)523-9559x0599,AG-192337,2018-12-25,True,0.0326
AGT-0134,AGY-0050,Mary,Cochran,lweaver@example.com,2107393087,AG-523808,2017-04-02,False,0.0546
AGT-0135,AGY-0027,Samantha,Harris,matthewthompson@example.com,7028921851,AG-156837,2010-01-10,no,0.0275
AGT-0136,AGY-0041,Brenda,Rogers,derek26@example.net,452.289.5392x6442,AG-563513,2018-02-11,no,0.0504
AGT-0137,AGY-0036,Stacy,Fry,xrosales@example.net,4297593917,AG-237377,2014-07-26,True,0.0571
AGT-0138,AGY-0008,Julie,Young,gary15example.c,2438315410,AG-130271,2019-10-30,no,0.0589
AGT-0139,AGY-0046,Samuel,Barnes,nicolesnyder@example.com,(286)717-9327x104,AG-266071,2023-08-28,0,0.0324
AGT-0140,AGY-0006,Jose,Garcia,george62@example.net,481-859-9706,AG-335615,2010-04-23,yes,0.0597
AGT-0141,AGY-0008,Eric,Garcia,terriortiz@example.net,001-284-744-3106x9872,AG-779172,2012-07-18,no,0.0533
AGT-0142,AGY-0033,Adam,Miller,bgonzalez@example.org,(641)371-4677,AG-839677,2021-03-06,True,0.0309
AGT-0143,AGY-0016,Darlene,Hughes,nicole52@example.com,4473743490,AG-578975,2020-10-27,no,0.0421
AGT-0144,AGY-0039,Christopher,Cooper,larellano@example.org,+1-906-686-8793,AG-632929,2018-08-09,0,0.0499
AGT-0145,AGY-0018,Christian,Orr,shawrachel@example.net,+1-592-417-2233x20616,AG-910208,2013-01-23,False,0.0516
AGT-0146,AGY-0033,Mary,Scott,millerangela@example.net,348-370-9986x16229,AG-380150,2019-04-23,False,0.0528
AGT-0147,AGY-0038,Anna,Garcia,mikayla56@example.com,(279)897-0246x2996,AG-708093,2016-05-06,True,0.06
AGT-0148,AGY-0029,Pamela,Rivera,brandonalvarez@example.com,(705)644-4713x247,AG-664742,2020-12-25,1,0.0394
AGT-0149,AGY-0030,Jessica,Jacobs,lopezjason@example.com,001-278-450-8214x8628,AG-437408,2017-06-16,yes,0.0548
AGT-0150,AGY-0015,James,Whitaker,wrightstephen@example.com,001-934-457-8610x357,AG-997594,2015-05-11,yes,0.051
AGT-0151,AGY-0048,Susan,Wells,max41@example.com,6608293333,AG-595951,2010-12-24,False,0.0482
AGT-0152,AGY-0043,William,Hancock,wellsdavid@example.org,+1-503-949-4466x574,AG-930884,2018-07-21,yes,0.0528
AGT-0153,AGY-0003,Kevin,Meyer,asilva@example.net,+1-658-699-4417x15454,AG-232378,2013-05-31,no,0.0401
AGT-0154,AGY-0007,Jacob,Holmes,racheltrujillo@example.net,(552)707-4466x6099,AG-986088,2023-03-28,False,0.0376
AGT-0155,AGY-0001,Jessica,Walker,qknox@example.com,542.782.4172x48251,AG-857537,2021-10-18,no,0.0258
AGT-0156,AGY-0031,Jeffrey,Savage,vfrench@example.com,594-371-7099x917,AG-919488,2013-06-18,False,0.0588
AGT-0157,AGY-0042,Mikayla,James,robert22@example.org,969-672-5217x52500,AG-184216,2017-08-05,yes,0.0541
AGT-0158,AGY-0021,Jason,Ayala,tracygallagher@example.org,(296)566-6760,AG-757246,2021-12-20,yes,0.0487
AGT-0159,AGY-0040,Jessica,Dodson,katherine83@example.org,+1-203-635-4216x89421,AG-171744,2020-12-11,True,0.0294
AGT-0160,AGY-0048,Stacy,Bryant,ryan25@example.com,(432)360-3323x098,AG-194769,2016-06-12,0,0.0374
AGT-0161,AGY-0029,Michael,Santos,brooksdanielle@example.net,+1-609-901-0016x761,AG-274446,2012-03-17,False,0.0478
AGT-0162,AGY-0021,Jacqueline,Harris,turnerdorothy@example.net,549.592.6189x14117,AG-934816,2010-08-26,True,0.0222
AGT-0163,AGY-0028,Kimberly,Decker,michaelortiz@example.org,3873375300,AG-252640,2018-01-15,False,0.0298
AGT-0164,AGY-0011,Mary,Caldwell,stacychan@example.org,001-714-737-4470x1204,AG-283573,2019-03-30,1,0.0232
AGT-0165,AGY-0032,Ronald,Wilson,smithdevon@example.net,(455)379-4155,AG-711484,2018-07-31,0,0.0257
AGT-0166,AGY-0030,Richard,Rivers,mary76@example.net,(912)402-1697,AG-367729,2020-05-05,True,0.0467
AGT-0167,AGY-0044,Cheryl,Maxwell,huffmannichole@example.net,(777)216-7014,AG-673149,2020-06-08,True,0.0263
AGT-0168,AGY-0038,Janet,Gregory,tiffanysantiago@example.com,489.916.3756x28900,AG-413685,2019-11-28,False,0.0456
AGT-0169,AGY-0030,Melissa,Booth,waltonmalik@example.com,908-338-6631x779,AG-986365,2019-07-08,True,0.0321
AGT-0170,AGY-0007,Melissa,West,hooperjulie@example.org,666-508-8019,AG-348728,2018-08-18,no,0.0353
AGT-0171,AGY-0045,Diamond,Bryant,michael03@example.com,789-397-5711x30554,AG-409571,2018-01-19,True,0.0209
AGT-0172,AGY-0001,Brandon,Martin,lydianewton@example.com,549-733-1637,AG-693419,2018-11-17,True,0.0546
AGT-0173,AGY-0019,Daniel,Perry,bartonshannon@example.net,001-982-470-8086,AG-913423,2011-02-06,no,0.052
AGT-0174,AGY-0015,Heather,Thompson,dalesandoval@example.net,686-769-3465x47226,AG-767542,2023-08-14,False,0.0276
AGT-0175,AGY-0041,Jennifer,Walls,jamesweber@example.com,+1-652-828-8515x87996,AG-201883,2015-08-16,1,0.0561
AGT-0176,AGY-0029,Lindsey,Mills,jamesbrian@example.org,242.744.2043,AG-134985,2010-11-19,True,0.0432
AGT-0177,AGY-0019,Lisa,Garcia,juliahoffman@example.org,540.766.6580x04397,AG-442589,2012-12-12,False,0.0499
AGT-0178,AGY-0009,Kari,Payne,kimberlybrandt@example.com,621.422.8160x648,AG-924718,2013-12-09,0,0.0416
AGT-0179,AGY-0011,Eugene,Singleton,riverajenna@example.org,7253909479,AG-369452,2018-03-17,True,0.0566
AGT-0180,AGY-0048,Kristen,Stewart,susanmeyer@example.net,(768)786-1533,AG-455168,2020-10-22,True,0.0522
AGT-0181,AGY-0010,Michael,Robinson,wbarajasexample.net,7158739930,AG-890785,2020-07-03,False,0.0587
AGT-0182,AGY-0006,Ruth,Landry,uscott@example.com,5857887704,AG-929090,2018-11-30,False,0.0358
AGT-0183,AGY-0030,Willie,Vaughan,teresaayala@example.net,3134361386,AG-486490,2015-12-07,False,0.0469
AGT-0184,AGY-0041,Andrew,Love,millerbrian@example.com,+1-819-734-6676,AG-489518,2015-11-18,yes,0.0243
AGT-0185,AGY-0002,Andre,Nunez,maychristine@example.net,001-301-658-1449,AG-749641,2015-03-31,no,0.0554
AGT-0186,AGY-0040,Kathy,Kim,bshort@example.com,(783)226-8424,AG-332120,2022-08-05,False,0.0459
AGT-0187,AGY-0042,Angela,Peters,williamsashley@example.com,+1-481-443-5368,AG-528129,2020-05-31,True,0.0247
AGT-0188,AGY-0020,Jack,Jensen,james29@example.org,001-487-581-4141x39755,AG-616554,2011-01-07,True,0.0246
AGT-0189,AGY-0025,Craig,Harvey,louishayes@example.net,+1-849-629-9556x20533,AG-575679,2015-04-08,1,0.0348
AGT-0190,AGY-0038,Mary,Taylor,natalie77@example.com,001-347-281-2914x28341,AG-878325,2022-02-12,yes,0.0491
AGT-0191,AGY-0032,Melissa,Welch,nhammond@example.org,+1-648-487-2563,AG-745558,2019-04-22,False,0.0363
AGT-0192,AGY-0045,Steven,Dixon,acox@example.net,492.982.7229,AG-488528,2016-04-10,True,0.0287
AGT-0193,AGY-0024,Sheila,Williams,qhall@example.com,203.785.6770,AG-204180,2019-12-22,0,0.0592
AGT-0194,AGY-0004,Dakota,Schmitt,mary49@example.net,001-826-565-9184,AG-517479,2018-03-29,False,0.031
AGT-0195,AGY-0006,Zachary,Gomez,tommy79@example.org,327.523.1843x22259,AG-794963,2012-09-27,no,0.0285
AGT-0196,AGY-0004,Robert,Rivera,olsontimothy@example.org,001-426-403-0299,AG-925013,2023-05-24,True,0.0333
AGT-0197,AGY-0005,Crystal,Williams,brianscottexample.org,869.490.4137x97723,AG-970127,2012-10-28,0,0.0506
AGT-0198,AGY-0015,Laura,Hoover,cindydixon@example.org,001-857-499-1366x2103,AG-444519,2014-08-25,0,0.051
AGT-0199,AGY-0018,Catherine,Thompson,richamanda@example.org,772-298-0686,AG-251716,2023-05-15,True,0.0595
AGT-0200,AGY-0012,Heidi,Patterson,yclarke@example.com,001-691-862-4731,AG-215266,2022-02-12,True,0.0464
AGT-0201,AGY-0001,Jonathan,Smith,lanedavid@example.org,(735)665-1269x4486,AG-475644,2010-07-31,1,0.0516
AGT-0202,AGY-0002,Victoria,Sanders,robertbowers@example.com,(858)487-4495,AG-282710,2015-05-04,False,0.0306
AGT-0203,AGY-0034,Melissa,Hopkins,seanlyons@example.org,838-265-8902,AG-219169,2012-11-04,yes,0.0498
AGT-0204,AGY-0050,Linda,Morrow,bfrost@example.org,643-251-9066,AG-479625,2020-09-06,no,0.0405
AGT-0205,AGY-0033,Sonya,Wilkins,mgonzales@example.net,443.309.8839x20530,AG-332311,2012-06-12,no,0.0578
AGT-0206,AGY-0030,Wendy,Chan,elizabeth69@example.org,901.818.4895x54393,AG-774591,2010-12-22,True,0.0586
AGT-0207,AGY-0026,Bailey,Green,jhunter@example.org,745.918.4894x76973,AG-546980,2011-05-14,no,0.0474
AGT-0208,AGY-0005,Erin,Mosley,olsonjonathan@example.com,+1-833-756-5880x4341,AG-184714,2020-12-30,no,0.0329
AGT-0209,AGY-0009,Charles,Velazquez,nedwards@example.net,723-473-3343x333,AG-388375,2013-04-30,False,0.045
AGT-0210,AGY-0025,Kimberly,Wilson,loweelizabeth@example.net,6809759579,AG-726410,2023-02-17,False,0.0412
AGT-0211,AGY-0007,Ian,Duran,raymond92@example.org,267.280.8562x71875,AG-931621,2020-03-05,yes,0.0481
AGT-0212,AGY-0028,Emily,Gray,nguyenchloe@example.com,(484)934-7955,AG-573489,2022-05-14,0,0.0555
AGT-0213,AGY-0030,Rodney,Barnes,michael64@example.com,(892)893-1438,AG-518098,2019-04-13,False,0.0366
AGT-0214,AGY-0028,James,Marsh,thomassmith@example.com,428.285.7448x9061,AG-427704,2012-02-18,False,0.0466
AGT-0215,AGY-0044,Jason,King,colematthew@example.com,(488)645-0615x939,AG-597305,2018-05-25,1,0.0227
AGT-0216,AGY-0028,Michael,Nunez,champton@example.org,(494)772-2569x9611,AG-201255,2011-12-01,False,0.0498
AGT-0217,AGY-0036,Jeremy,Stewart,jennifer96@example.com,359.587.6220x234,AG-162894,2018-05-11,1,0.0435
AGT-0218,AGY-0043,Garrett,Garcia,zunigathomas@example.org,8686114921,AG-228168,2022-08-06,False,0.0364
AGT-0219,AGY-0019,Jerome,Rojas,isims@example.net,(900)455-7784,AG-729575,2019-06-27,True,0.0325
AGT-0220,AGY-0010,Tara,Wolfe,brittanybryantexample.net,+1-796-888-4578x3174,AG-788637,2012-04-28,0,0.0393
AGT-0221,AGY-0036,Jordan,Torres,millskatherine@example.org,(547)280-7740x649,AG-485415,2012-06-05,False,0.0246
AGT-0222,AGY-0028,Amy,Lopez,kfoster@example.net,001-666-834-1638x9448,AG-986209,2016-04-01,0,0.0424
